loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status
1,2,Graduate,No,111781.6,348153.3,12,778,93151.37,Approved
2,0,Not Graduate,Yes,47740.08,142055.8,8,417,38424.94,Rejected
3,3,Graduate,No,105959.7,345824.5,20,506,149042.2,Rejected
4,3,Graduate,No,95480.16,357468.4,8,467,91986.98,Rejected
5,5,Not Graduate,Yes,114110.4,281782.9,20,382,58219.61,Rejected
6,0,Graduate,Yes,55890.82,157192.9,10,319,59384,Rejected
7,5,Graduate,No,101302.1,384249.4,4,678,50068.86,Approved
8,2,Graduate,Yes,66370.35,174658.8,20,382,69863.53,Rejected
9,0,Graduate,Yes,9315.137,25616.63,20,782,6986.353,Approved
10,5,Not Graduate,No,12808.31,50068.86,10,388,18630.27,Rejected
11,4,Graduate,Yes,33767.37,130411.9,2,547,36096.16,Approved
12,2,Not Graduate,Yes,78014.27,264317,18,538,74521.1,Rejected
13,3,Not Graduate,Yes,58219.61,135069.5,16,311,50068.86,Rejected
14,2,Graduate,Yes,105959.7,366783.5,14,679,58219.61,Approved
15,1,Not Graduate,No,22123.45,86165.02,6,469,22123.45,Rejected
16,5,Not Graduate,No,54726.43,124590,10,794,51233.25,Approved
17,2,Graduate,Yes,5821.961,18630.27,4,663,8150.745,Approved
18,4,Not Graduate,Yes,33767.37,109452.9,14,780,50068.86,Approved
19,2,Graduate,No,31438.59,119932.4,10,736,38424.94,Approved
20,5,Graduate,No,73356.71,170001.3,12,652,68699.14,Approved
21,2,Graduate,No,58219.61,225892.1,12,315,71027.92,Rejected
22,4,Graduate,No,67534.74,163014.9,16,530,62877.18,Rejected
23,4,Graduate,Yes,75685.49,299248.8,18,311,98973.33,Rejected
24,0,Not Graduate,Yes,5821.961,16301.49,2,551,3493.176,Approved
25,0,Not Graduate,No,57055.22,114110.4,16,324,38424.94,Rejected
26,5,Not Graduate,No,36096.16,110617.3,20,514,30274.2,Rejected
27,4,Graduate,No,95480.16,327194.2,12,696,83836.23,Approved
28,4,Not Graduate,Yes,27945.41,65205.96,4,662,29109.8,Approved
29,5,Not Graduate,Yes,81507.45,279454.1,6,336,112946,Rejected
30,3,Not Graduate,Yes,104795.3,366783.5,10,850,93151.37,Approved
31,2,Not Graduate,No,114110.4,294591.2,12,313,108288.5,Rejected
32,2,Graduate,No,66370.35,139727.1,6,363,50068.86,Rejected
33,1,Not Graduate,Yes,9315.137,18630.27,10,436,11643.92,Rejected
